Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
109,2024-10-15,2744,GRDBL,Green Development Bank Ltd.,728.4,728.5,715.0,727.0,4400,3178040.1,714.5,914.0,282.2,2024-10-15T14:59:59.538052,727.0,35,722.28,3916.51
110,2024-10-16,2744,GRDBL,Green Development Bank Ltd.,740.0,740.0,718.0,725.0,13512,9900175.9,727.0,914.0,282.2,2024-10-16T14:59:43.923084,725.0,93,732.69,3905.73
111,2024-10-17,2744,GRDBL,Green Development Bank Ltd.,720.0,734.8,714.0,715.0,9886,7161071.5,725.0,914.0,282.2,2024-10-17T14:59:54.939757,715.0,87,724.36,3851.86
112,2024-10-20,2744,GRDBL,Green Development Bank Ltd.,701.0,728.9,701.0,711.0,12573,8973128.9,715.0,914.0,282.2,2024-10-20T14:59:59.675109,711.0,91,713.68,3830.31
112,2024-10-21,2744,GRDBL,Green Development Bank Ltd.,702.0,757.3,702.0,729.9,20937,15172185.8,711.0,914.0,282.2,2024-10-21T14:59:59.713082,729.9,208,724.65,3932.13
110,2024-10-22,2744,GRDBL,Green Development Bank Ltd.,717.0,748.6,717.0,738.0,11249,8212474.7,729.9,914.0,282.2,2024-10-22T14:59:58.341492,738.0,78,730.06,3975.77
112,2024-10-23,2744,GRDBL,Green Development Bank Ltd.,738.0,765.0,728.0,743.0,11056,8186515.2,738.0,914.0,282.2,2024-10-23T14:59:49.114876,743.0,107,740.45,4002.7
112,2024-10-24,2744,GRDBL,Green Development Bank Ltd.,730.1,744.7,702.0,719.9,9150,6608987.2,743.0,914.0,282.2,2024-10-24T14:59:58.671349,719.9,80,722.29,3878.26
113,2024-10-27,2744,GRDBL,Green Development Bank Ltd.,732.0,734.2,708.1,723.0,6861,4960121.3,719.9,914.0,282.2,2024-10-27T14:59:59.406512,723.0,56,722.94,3894.96
109,2024-10-28,2744,GRDBL,Green Development Bank Ltd.,730.0,740.0,716.0,731.0,8432,6184414.6,723.0,914.0,282.2,2024-10-28T14:59:50.924893,731.0,96,733.44,3938.06
110,2024-10-29,2744,GRDBL,Green Development Bank Ltd.,744.9,775.0,732.0,775.0,17461,13142859.0,731.0,914.0,282.2,2024-10-29T14:59:59.794417,775.0,159,752.69,4175.1
110,2024-10-30,2744,GRDBL,Green Development Bank Ltd.,777.0,830.0,761.5,780.0,13387,10531607.7,775.0,914.0,282.2,2024-10-30T14:59:59.692779,780.0,134,786.7,4202.03
109,2024-11-05,2744,GRDBL,Green Development Bank Ltd.,766.0,782.6,750.7,766.0,12553,9569334.3,780.0,914.0,282.2,2024-11-05T14:59:59.547065,766.0,68,762.31,4126.61
112,2024-11-06,2744,GRDBL,Green Development Bank Ltd.,766.0,809.0,763.3,795.0,17778,13996175.6,766.0,914.0,282.2,2024-11-06T14:59:27.858294,795.0,124,787.27,4282.84
112,2024-11-10,2744,GRDBL,Green Development Bank Ltd.,795.0,850.0,790.0,837.9,33550,27260341.7,795.0,914.0,282.2,2024-11-10T14:59:56.756851,837.9,233,812.52,4513.95
111,2024-11-11,2744,GRDBL,Green Development Bank Ltd.,845.0,845.0,798.8,810.0,16534,13387573.3,837.9,914.0,282.2,2024-11-11T14:59:58.815386,810.0,138,809.69,4363.65
112,2024-11-12,2744,GRDBL,Green Development Bank Ltd.,826.0,835.0,794.0,824.0,15841,12897744.8,810.0,914.0,282.2,2024-11-12T14:59:59.038292,824.0,132,814.2,4439.07
113,2024-11-13,2744,GRDBL,Green Development Bank Ltd.,815.0,906.4,809.0,896.5,60946,52676619.1,824.0,914.0,282.2,2024-11-13T14:59:59.745281,896.5,387,864.31,4829.64
112,2024-11-14,2744,GRDBL,Green Development Bank Ltd.,910.0,914.0,878.6,898.9,29537,26409327.2,896.5,914.0,282.2,2024-11-14T14:59:59.468211,898.9,248,894.11,4842.57
112,2024-11-17,2744,GRDBL,Green Development Bank Ltd.,912.0,929.0,879.0,900.0,34200,31127803.7,898.9,929.0,282.2,2024-11-17T14:59:59.285294,900.0,257,910.16,4848.5
113,2024-11-19,2744,GRDBL,Green Development Bank Ltd.,882.0,965.0,866.3,893.0,24561,21990547.8,900.0,965.0,282.2,2024-11-19T14:59:59.779542,893.0,194,895.34,4810.79
111,2024-11-20,2744,GRDBL,Green Development Bank Ltd.,910.8,965.4,867.1,962.1,58806,54727916.1,893.0,965.4,282.2,2024-11-20T14:59:59.415438,962.1,424,930.65,5183.04
112,2024-11-21,2744,GRDBL,Green Development Bank Ltd.,974.0,974.0,916.0,937.9,19944,18842453.4,962.1,974.0,284.2,2024-11-21T14:59:54.330301,937.9,163,944.76,5052.67
113,2024-11-24,2744,GRDBL,Green Development Bank Ltd.,937.9,937.9,890.0,913.5,26825,24420014.4,937.9,974.0,284.2,2024-11-24T14:59:50.273391,913.5,180,910.34,4921.23
112,2024-11-25,2744,GRDBL,Green Development Bank Ltd.,929.8,951.0,899.7,935.0,25108,23268192.2,913.5,974.0,284.2,2024-11-25T14:59:58.93504,935.0,180,926.72,5037.05
81,2024-11-26,2744,GRDBL,Green Development Bank Ltd.,935.0,950.0,916.0,933.9,40622,37943808.3,935.0,974.0,284.2,2024-11-26T14:59:59.197822,933.9,172,934.07,5031.12
112,2024-11-27,2744,GRDBL,Green Development Bank Ltd.,952.5,1027.2,915.3,1027.2,111064,109044606.4,933.9,1027.2,284.2,2024-11-27T14:58:25.234072,1027.2,574,981.81,5533.75
123,2024-11-28,2744,GRDBL,Green Development Bank Ltd.,1047.7,1097.5,1021.2,1026.0,42098,44258410.2,1027.2,1097.5,284.2,2024-11-28T14:59:58.545195,1026.0,421,1051.31,5527.29
150,2024-12-01,2744,GRDBL,Green Development Bank Ltd.,1026.0,1128.6,1005.5,1128.6,83613,91107085.4,1026.0,1128.6,284.2,2024-12-01T14:58:01.422675,1128.6,572,1089.62,6080.02
111,2024-12-02,2744,GRDBL,Green Development Bank Ltd.,1151.1,1201.0,1131.0,1150.0,58344,68183501.7,1128.6,1201.0,284.2,2024-12-02T14:59:59.071165,1150.0,517,1168.64,6195.3
112,2024-12-03,2744,GRDBL,Green Development Bank Ltd.,1160.0,1173.0,1072.0,1120.0,46541,51382666.6,1150.0,1201.0,284.2,2024-12-03T14:59:58.436633,1120.0,371,1104.03,6033.69
112,2024-12-04,2744,GRDBL,Green Development Bank Ltd.,1097.6,1111.0,1059.0,1075.0,19547,21287972.7,1120.0,1201.0,286.1,2024-12-04T14:59:58.729755,1075.0,234,1089.06,5791.26
109,2024-12-05,2744,GRDBL,Green Development Bank Ltd.,1070.0,1084.9,1039.0,1039.0,22306,23799074.8,1075.0,1201.0,289.3,2024-12-05T14:59:56.085208,1039.0,197,1066.93,5597.32
114,2024-12-08,2744,GRDBL,Green Development Bank Ltd.,1059.7,1113.0,1035.2,1040.0,21295,22822824.9,1039.0,1201.0,302.9,2024-12-08T14:59:50.054856,1040.0,204,1071.74,5602.71
110,2024-12-09,2744,GRDBL,Green Development Bank Ltd.,1060.8,1060.8,1000.1,1007.1,30027,30820234.2,1040.0,1201.0,305.0,2024-12-09T14:59:59.901475,1007.1,170,1026.41,5425.47
109,2024-12-10,2744,GRDBL,Green Development Bank Ltd.,1027.2,1045.0,990.0,1015.0,12778,12961152.0,1007.1,1201.0,307.7,2024-12-10T14:59:59.083388,1015.0,138,1014.33,5468.03
109,2024-12-11,2744,GRDBL,Green Development Bank Ltd.,1035.3,1053.9,996.0,1032.9,14974,15305005.7,1015.0,1201.0,311.5,2024-12-11T14:59:58.51846,1032.9,110,1022.1,5564.46
102,2024-12-12,2744,GRDBL,Green Development Bank Ltd.,1045.0,1045.0,986.1,1000.0,30465,30811384.1,1032.9,1201.0,313.0,2024-12-12T14:59:59.007159,1000.0,152,1011.36,5387.22
115,2024-12-16,2744,GRDBL,Green Development Bank Ltd.,1000.0,1017.9,972.0,997.0,26173,26086281.8,1000.0,1201.0,313.0,2024-12-16T14:59:57.719033,997.0,178,996.68,5371.06
143,2024-12-17,2744,GRDBL,Green Development Bank Ltd.,995.7,1013.0,966.0,988.0,18251,18013335.2,997.0,1201.0,313.0,2024-12-17T14:59:58.956598,988.0,135,986.97,5322.57
208,2024-12-18,2744,GRDBL,Green Development Bank Ltd.,999.0,1067.0,970.0,1011.0,19695,19814176.5,988.0,1201.0,313.0,2024-12-18T14:59:55.260977,1011.0,196,1006.05,5446.48
112,2024-12-19,2744,GRDBL,Green Development Bank Ltd.,1020.0,1029.0,987.0,1003.0,16663,16640227.3,1011.0,1201.0,313.0,2024-12-19T14:59:59.919427,1003.0,118,998.63,5403.38
113,2024-12-22,2744,GRDBL,Green Development Bank Ltd.,1010.0,1010.0,967.0,989.0,14502,14224277.4,1003.0,1201.0,313.0,2024-12-22T14:59:58.924247,989.0,118,980.84,5327.96
82,2024-12-23,2744,GRDBL,Green Development Bank Ltd.,970.0,1001.0,969.0,989.3,15976,15712338.4,989.0,1201.0,313.0,2024-12-23T14:59:59.354741,989.3,106,983.49,5329.58
111,2024-12-24,2744,GRDBL,Green Development Bank Ltd.,971.0,1086.0,971.0,1048.0,29952,30909457.5,989.3,1201.0,313.0,2024-12-24T14:59:59.03521,1048.0,257,1031.96,5645.81
110,2024-12-26,2744,GRDBL,Green Development Bank Ltd.,1027.1,1027.1,943.2,960.0,49688,47627962.7,1048.0,1201.0,313.0,2024-12-26T14:59:59.362007,960.0,343,958.54,5171.73
116,2024-12-29,2744,GRDBL,Green Development Bank Ltd.,945.0,980.0,875.0,880.0,31005,27839737.8,960.0,1201.0,313.0,2024-12-29T14:59:57.6776,880.0,247,897.91,4740.75
